iter	MultiClass
0	1.943058902
1	1.778435457
2	1.652827327
3	1.52870202
4	1.445704776
5	1.360929577
6	1.302215332
7	1.247238982
8	1.200443685
9	1.160554411
10	1.12003225
11	1.079718028
12	1.053023595
13	1.015818993
14	0.9891285261
15	0.9590048691
16	0.933072031
17	0.9064667644
18	0.880205451
19	0.862833444
20	0.843466488
21	0.8259949169
22	0.8128244185
23	0.7986513889
24	0.780759375
25	0.7678592468
26	0.7559706082
27	0.7414361834
28	0.7310344061
29	0.7218733395
30	0.7106564808
31	0.6987694597
32	0.6891097741
33	0.676969341
34	0.6695803421
35	0.662752107
36	0.6530529821
37	0.6473167458
38	0.6397297412
39	0.6319289604
40	0.6264156237
41	0.6187744368
42	0.6140074264
43	0.6090373262
44	0.6029824472
45	0.5987271979
46	0.5931193705
47	0.5888445632
48	0.5852424417
49	0.581776515
50	0.573542434
51	0.5662525864
52	0.5608053603
53	0.5564048654
54	0.5505527266
55	0.5462192899
56	0.5423139958
57	0.5390963416
58	0.5343435463
59	0.5297560026
60	0.5252954552
61	0.5233037521
62	0.5184861797
63	0.51564862
64	0.513037327
65	0.5092001495
66	0.5058967365
67	0.5027635724
68	0.5004109603
69	0.4971297115
70	0.4926404848
71	0.4899936384
72	0.4882240464
73	0.4859587144
74	0.4817937072
75	0.4791194112
76	0.4757545437
77	0.4739286107
78	0.4708608317
79	0.4690309832
80	0.4657733448
81	0.462883481
82	0.4610961198
83	0.4589346111
84	0.4570971855
85	0.4554802206
86	0.4531668764
87	0.4503181892
88	0.447499592
89	0.4448319386
90	0.4419249703
91	0.4406620982
92	0.4384212018
93	0.4351111118
94	0.4329182518
95	0.4305679926
96	0.428431009
97	0.4254213528
98	0.4233080153
99	0.4215953499
100	0.4192817792
101	0.4166682601
102	0.413917522
103	0.410790595
104	0.4088282085
105	0.4065308337
106	0.4048666853
107	0.4035612128
108	0.4010474127
109	0.3987035622
110	0.3974105181
111	0.3960814596
112	0.394690576
113	0.3930938041
114	0.391631992
115	0.3886288283
116	0.3872047157
117	0.3851888118
118	0.3832874154
119	0.3817845807
120	0.380324495
121	0.377664006
122	0.3756791957
123	0.3739673823
124	0.3725348723
125	0.3702944915
126	0.3686909582
127	0.3675669038
128	0.366244348
129	0.3653531659
130	0.3645027189
131	0.3627947781
132	0.3613921458
133	0.3600655417
134	0.3587004863
135	0.357433316
136	0.3556298165
137	0.3545919674
138	0.3538609273
139	0.3529441515
140	0.3520520916
141	0.3506160803
142	0.3489667165
143	0.3475203184
144	0.3464549008
145	0.3450435183
146	0.3443623531
147	0.3435066643
148	0.342514837
149	0.3414761074
150	0.3402711695
151	0.3387650621
152	0.3372030402
153	0.3362575043
154	0.3348908644
155	0.3342458983
156	0.3315495318
157	0.3306968987
158	0.3293900232
159	0.3286815384
