iter	Passed	Remaining
402	11039	16353
403	11067	16327
404	11095	16300
405	11122	16273
406	11152	16248
407	11179	16221
408	11206	16193
409	11233	16165
410	11261	16138
411	11288	16110
412	11317	16085
413	11343	16056
414	11370	16028
415	11397	16000
416	11424	15972
417	11453	15947
418	11481	15919
419	11510	15895
420	11537	15867
421	11564	15839
422	11599	15822
423	11632	15803
424	11664	15781
425	11692	15754
426	11719	15727
427	11747	15700
428	11776	15675
429	11805	15649
430	11835	15624
431	11862	15596
432	11888	15567
433	11916	15541
434	11943	15513
435	11970	15485
436	11996	15455
437	12023	15426
438	12048	15397
439	12076	15370
440	12106	15345
441	12132	15317
442	12166	15297
443	12209	15288
444	12244	15271
445	12281	15255
446	12314	15234
447	12349	15215
448	12391	15206
449	12420	15180
450	12468	15177
451	12495	15148
452	12522	15121
453	12549	15092
454	12577	15064
455	12603	15035
456	12629	15006
457	12656	14977
458	12684	14950
459	12709	14920
460	12737	14892
461	12771	14872
462	12806	14853
463	12835	14827
464	12861	14798
465	12891	14773
466	12916	14741
467	12941	14711
468	12966	14680
469	12991	14650
470	13015	14618
471	13040	14587
472	13066	14558
473	13092	14528
474	13119	14500
475	13145	14470
476	13171	14441
477	13196	14410
478	13221	14380
479	13246	14350
480	13272	14320
481	13297	14290
482	13322	14260
483	13349	14232
484	13374	14202
485	13399	14171
486	13423	14140
487	13449	14110
488	13475	14081
489	13500	14051
490	13526	14021
491	13553	13994
492	13578	13963
493	13601	13932
494	13626	13901
495	13651	13871
496	13677	13842
497	13703	13813
498	13728	13783
499	13754	13754
500	13779	13724
501	13803	13693
502	13827	13662
503	13852	13632
504	13877	13603
505	13904	13574
506	13929	13545
507	13957	13517
508	13983	13489
509	14009	13460
510	14049	13444
511	14079	13419
512	14106	13391
513	14133	13363
514	14158	13333
515	14184	13304
516	14210	13275
517	14235	13246
518	14263	13218
519	14287	13188
520	14312	13158
521	14337	13128
522	14364	13100
523	14389	13071
524	14414	13041
525	14440	13013
526	14464	12982
527	14489	12952
528	14513	12922
529	14537	12891
530	14562	12862
531	14589	12834
532	14613	12803
533	14635	12772
534	14661	12743
535	14686	12714
536	14712	12685
537	14738	12656
538	14763	12627
539	14789	12598
540	14819	12573
541	14848	12547
542	14876	12520
543	14903	12492
544	14929	12464
545	14954	12434
546	14983	12408
547	15008	12379
548	15034	12350
549	15060	12322
550	15086	12293
551	15113	12265
552	16534	13365
553	16817	13539
554	16962	13600
555	17205	13740
556	17643	14032
557	17768	14074
558	17864	14093
559	18369	14433
560	18648	14592
561	18846	14688
562	19196	14900
563	19572	15130
564	19706	15172
565	19867	15234
566	20030	15296
567	20236	15390
568	20694	15675
569	21654	16335
570	22137	16632
571	22583	16898
572	22893	17059
573	23021	17085
574	23123	17091
575	23224	17096
576	23288	17073
577	23386	17074
578	23456	17055
579	23548	17052
580	23616	17031
581	23684	17010
582	23755	16991
583	23821	16969
584	23892	16949
585	23971	16935
586	24074	16938
587	24166	16932
588	24241	16915
589	24306	16890
590	24368	16864
591	24434	16839
592	24498	16814
593	24570	16794
594	24641	16772
595	24721	16757
596	24790	16734
597	24857	16709
598	24920	16683
599	24987	16658
600	25054	16633
601	25054	16633
602	26013	17155
603	26475	17386
604	27008	17662
605	27384	17834
606	27838	18053
607	29080	18780
608	29907	19233
609	30457	19505
610	31102	19833
611	31696	20128
612	32409	20494
613	33170	20887
614	33955	21291
615	34373	21462
616	34978	21747
617	35320	21867
618	36053	22227
619	36385	22336
620	36715	22443
621	36970	22503
622	37272	22591
623	37645	22720
624	37877	22763
625	38336	22940
626	38561	22976
627	38841	23044
628	41177	24326
629	41781	24577
630	42619	24963
631	42907	25023
632	43103	25029
633	43397	25092
634	43642	25125
635	43756	25082
636	43939	25078
637	44119	25072
638	44310	25072
639	44854	25269
640	45042	25265
641	45198	25243
642	45324	25203
643	45705	25305
644	45972	25342
645	46140	25323
646	46351	25328
647	46504	25300
648	46798	25349
649	47015	25355
650	47200	25342
651	47462	25371
652	47702	25387
653	47874	25366
654	48135	25392
655	48358	25397
656	48502	25360
657	48659	25329
658	48928	25356
659	49079	25321
660	49188	25264
661	49333	25226
662	49476	25186
663	49609	25141
664	49788	25119
665	49922	25073
666	50084	25042
667	50277	25025
668	50440	24993
669	50579	24949
670	50678	24885
671	50791	24828
672	50921	24778
673	51096	24750
674	51187	24682
675	51273	24611
676	51467	24591
677	51632	24558
678	51817	24533
679	52008	24510
680	52161	24469
681	52299	24421
682	52485	24395
